Xl Yl Xr Yr x y z
1696.7531486146095 1319.8916876574308 1697.8589420654912 1306.7909319899245 4.2 2.6999999999999997 3.0232
1473.3821339950373 1436.6178660049627 1475.6461916461917 1413.5896805896805 3.5999999999999996 3.0 2.9752
798.7837150127226 894.6768447837151 824.0387596899225 846.4263565891473 1.7999999999999998 1.5 3.0088
914.3282442748092 1002.3689567430026 931.6513994910941 958.7328244274809 2.1 1.7999999999999998 3.032
1025.8167938931297 1111.7124681933842 1039.7904040404042 1071.8484848484848 2.4 2.1 3.0144
1560.9825870646766 435.30099502487565 1609.127450980392 421.1200980392157 3.9 0.3 2.9696
1812.3576470588234 1539.2870588235294 1802.7565011820332 1529.6926713947992 4.5 3.3 3.0336
350.7416879795396 793.2148337595908 385.10714285714283 726.7270408163265 0.6 1.2 2.9856
572.0104712041884 788.4947643979058 605.8863636363636 731.1237373737374 1.2 1.2 2.984
1473.3689567430026 1213.0814249363868 1478.997442455243 1191.468030690537 3.5999999999999996 2.4 3.0296
1011.5454545454545 668.5252525252525 1051.4766839378237 630.0518134715026 2.4 0.8999999999999999 2.9648
809.2085427135678 1560.1733668341708 810.2261306532663 1510.2914572864322 1.7999999999999998 3.3 2.9624
1696.9654320987654 1320.116049382716 1697.682619647355 1306.7657430730478 4.2 2.6999999999999997 3.0248
454.0255102040816 458.54846938775506 503.2413793103449 397.12068965517244 0.8999999999999999 0.3 2.9896
915.2634271099744 1225.16368286445 927.3341772151899 1180.4303797468353 2.1 2.4 2.9888
1124.8510101010102 776.9015151515151 1159.618320610687 742.7709923664122 2.6999999999999997 1.2 2.9616
1573.8316582914572 767.21608040201 1599.7735368956744 751.8091603053435 3.9 1.2 3.0264
1232.0666666666666 441.9432098765432 1276.3082524271845 413.65291262135923 3.0 0.3 3.0144
1812.1529411764707 1539.345882352941 1802.8188235294117 1529.6941176470589 4.5 3.3 3.028
247.86802030456852 905.1776649746193 271.1372549019608 834.125 0.3 1.5 3.04
589.0479797979798 1453.219696969697 590.4683544303798 1395.0025316455697 1.2 3.0 3.0064
1677.0621890547263 654.9825870646766 1714.8040712468194 644.7709923664122 4.2 0.8999999999999999 2.968
791.4696569920844 673.0290237467018 829.984886649874 625.1007556675063 1.7999999999999998 0.8999999999999999 2.984
1025.638888888889 1000.0782828282829 1042.0 960.9401496259352 2.4 1.7999999999999998 3.0344
1011.225888324873 668.3502538071066 1051.7448979591836 629.8163265306123 2.4 0.8999999999999999 2.9616
474.2564102564103 1344.7435897435898 482.1366120218579 1282.5300546448088 0.8999999999999999 2.6999999999999997 2.9912
257.87012987012986 1347.5584415584415 261.16089108910893 1276.5668316831684 0.3 2.6999999999999997 3.0384
1586.1141439205956 1321.9801488833748 1587.231884057971 1304.3019323671497 3.9 2.6999999999999997 3.0264
367.16326530612247 1457.704081632653 369.4716049382716 1390.5061728395062 0.6 3.0 3.004
1144.0347394540943 1553.6253101736972 1141.0588235294117 1517.0416666666667 2.6999999999999997 3.3 2.9872
244.70558375634516 906.2233502538071 271.3959899749373 834.9298245614035 0.3 1.5 3.0096
1571.60201511335 656.3576826196473 1602.2173913043478 641.5115089514067 3.9 0.8999999999999999 3.0288
1357.908163265306 993.5561224489795 1373.6363636363637 968.060606060606 3.3 1.7999999999999998 3.0336
1035.61 1443.3925 1032.004975124378 1403.0298507462687 2.4 3.0 3.0368
